Transaction_Id__c,Customer_Key__c,Identification_Name,Identification_Type
TXN-0000001,CUST-001310,Bancassurance_Key,Custom
TXN-0000002,CUST-000229,Bancassurance_Key,Custom
TXN-0000003,CUST-000052,Bancassurance_Key,Custom
TXN-0000004,CUST-000564,Bancassurance_Key,Custom
TXN-0000005,CUST-000502,Bancassurance_Key,Custom
TXN-0000006,CUST-000458,Bancassurance_Key,Custom
TXN-0000007,CUST-000286,Bancassurance_Key,Custom
TXN-0000008,CUST-000210,Bancassurance_Key,Custom
TXN-0000009,CUST-001386,Bancassurance_Key,Custom
TXN-0000010,CUST-001117,Bancassurance_Key,Custom
TXN-0000011,CUST-000179,Bancassurance_Key,Custom
TXN-0000012,CUST-001210,Bancassurance_Key,Custom
TXN-0000013,CUST-000865,Bancassurance_Key,Custom
TXN-0000014,CUST-000066,Bancassurance_Key,Custom
TXN-0000015,CUST-000062,Bancassurance_Key,Custom
TXN-0000016,CUST-000192,Bancassurance_Key,Custom
TXN-0000017,CUST-000448,Bancassurance_Key,Custom
TXN-0000018,CUST-000477,Bancassurance_Key,Custom
TXN-0000019,CUST-001035,Bancassurance_Key,Custom
TXN-0000020,CUST-001233,Bancassurance_Key,Custom
TXN-0000021,CUST-000055,Bancassurance_Key,Custom
TXN-0000022,CUST-001150,Bancassurance_Key,Custom
TXN-0000023,CUST-000408,Bancassurance_Key,Custom
TXN-0000024,CUST-001467,Bancassurance_Key,Custom
TXN-0000025,CUST-001331,Bancassurance_Key,Custom
TXN-0000026,CUST-001437,Bancassurance_Key,Custom
TXN-0000027,CUST-001117,Bancassurance_Key,Custom
TXN-0000028,CUST-000860,Bancassurance_Key,Custom
TXN-0000029,CUST-000452,Bancassurance_Key,Custom
TXN-0000030,CUST-000920,Bancassurance_Key,Custom
TXN-0000031,CUST-001207,Bancassurance_Key,Custom
TXN-0000032,CUST-000570,Bancassurance_Key,Custom
TXN-0000033,CUST-000014,Bancassurance_Key,Custom
TXN-0000034,CUST-000327,Bancassurance_Key,Custom
TXN-0000035,CUST-001430,Bancassurance_Key,Custom
TXN-0000036,CUST-000866,Bancassurance_Key,Custom
TXN-0000037,CUST-000697,Bancassurance_Key,Custom
TXN-0000038,CUST-000570,Bancassurance_Key,Custom
TXN-0000039,CUST-000319,Bancassurance_Key,Custom
TXN-0000040,CUST-000441,Bancassurance_Key,Custom
TXN-0000041,CUST-000690,Bancassurance_Key,Custom
TXN-0000042,CUST-000210,Bancassurance_Key,Custom
TXN-0000043,CUST-000190,Bancassurance_Key,Custom
TXN-0000044,CUST-000779,Bancassurance_Key,Custom
TXN-0000045,CUST-000199,Bancassurance_Key,Custom
TXN-0000046,CUST-000736,Bancassurance_Key,Custom
TXN-0000047,CUST-000705,Bancassurance_Key,Custom
TXN-0000048,CUST-001237,Bancassurance_Key,Custom
TXN-0000049,CUST-000542,Bancassurance_Key,Custom
TXN-0000050,CUST-000089,Bancassurance_Key,Custom
TXN-0000051,CUST-001495,Bancassurance_Key,Custom
TXN-0000052,CUST-000941,Bancassurance_Key,Custom
TXN-0000053,CUST-001099,Bancassurance_Key,Custom
TXN-0000054,CUST-000256,Bancassurance_Key,Custom
TXN-0000055,CUST-000776,Bancassurance_Key,Custom
TXN-0000056,CUST-000162,Bancassurance_Key,Custom
TXN-0000057,CUST-001131,Bancassurance_Key,Custom
TXN-0000058,CUST-000601,Bancassurance_Key,Custom
TXN-0000059,CUST-001288,Bancassurance_Key,Custom
TXN-0000060,CUST-001267,Bancassurance_Key,Custom
TXN-0000061,CUST-000741,Bancassurance_Key,Custom
TXN-0000062,CUST-001183,Bancassurance_Key,Custom
TXN-0000063,CUST-000394,Bancassurance_Key,Custom
TXN-0000064,CUST-001443,Bancassurance_Key,Custom
TXN-0000065,CUST-000143,Bancassurance_Key,Custom
TXN-0000066,CUST-000094,Bancassurance_Key,Custom
TXN-0000067,CUST-001355,Bancassurance_Key,Custom
TXN-0000068,CUST-000467,Bancassurance_Key,Custom
TXN-0000069,CUST-000593,Bancassurance_Key,Custom
TXN-0000070,CUST-000164,Bancassurance_Key,Custom
TXN-0000071,CUST-000477,Bancassurance_Key,Custom
TXN-0000072,CUST-000207,Bancassurance_Key,Custom
TXN-0000073,CUST-000779,Bancassurance_Key,Custom
TXN-0000074,CUST-000570,Bancassurance_Key,Custom
TXN-0000075,CUST-000929,Bancassurance_Key,Custom
TXN-0000076,CUST-001302,Bancassurance_Key,Custom
TXN-0000077,CUST-000748,Bancassurance_Key,Custom
TXN-0000078,CUST-000334,Bancassurance_Key,Custom
TXN-0000079,CUST-000759,Bancassurance_Key,Custom
TXN-0000080,CUST-000728,Bancassurance_Key,Custom
TXN-0000081,CUST-000430,Bancassurance_Key,Custom
TXN-0000082,CUST-001373,Bancassurance_Key,Custom
TXN-0000083,CUST-000547,Bancassurance_Key,Custom
TXN-0000084,CUST-001438,Bancassurance_Key,Custom
TXN-0000085,CUST-001400,Bancassurance_Key,Custom
TXN-0000086,CUST-001328,Bancassurance_Key,Custom
TXN-0000087,CUST-000147,Bancassurance_Key,Custom
TXN-0000088,CUST-001248,Bancassurance_Key,Custom
TXN-0000089,CUST-001301,Bancassurance_Key,Custom
TXN-0000090,CUST-000351,Bancassurance_Key,Custom
TXN-0000091,CUST-001094,Bancassurance_Key,Custom
TXN-0000092,CUST-001494,Bancassurance_Key,Custom
TXN-0000093,CUST-000502,Bancassurance_Key,Custom
TXN-0000094,CUST-000335,Bancassurance_Key,Custom
TXN-0000095,CUST-000947,Bancassurance_Key,Custom
TXN-0000096,CUST-000778,Bancassurance_Key,Custom
TXN-0000097,CUST-000553,Bancassurance_Key,Custom
TXN-0000098,CUST-001311,Bancassurance_Key,Custom
TXN-0000099,CUST-001410,Bancassurance_Key,Custom
TXN-0000100,CUST-001141,Bancassurance_Key,Custom
TXN-0000101,CUST-000450,Bancassurance_Key,Custom
TXN-0000102,CUST-001403,Bancassurance_Key,Custom
TXN-0000103,CUST-000665,Bancassurance_Key,Custom
TXN-0000104,CUST-000115,Bancassurance_Key,Custom
TXN-0000105,CUST-000470,Bancassurance_Key,Custom
TXN-0000106,CUST-000066,Bancassurance_Key,Custom
TXN-0000107,CUST-000647,Bancassurance_Key,Custom
TXN-0000108,CUST-000822,Bancassurance_Key,Custom
TXN-0000109,CUST-000549,Bancassurance_Key,Custom
TXN-0000110,CUST-000136,Bancassurance_Key,Custom
TXN-0000111,CUST-000433,Bancassurance_Key,Custom
TXN-0000112,CUST-001162,Bancassurance_Key,Custom
TXN-0000113,CUST-001471,Bancassurance_Key,Custom
TXN-0000114,CUST-000645,Bancassurance_Key,Custom
TXN-0000115,CUST-000436,Bancassurance_Key,Custom
TXN-0000116,CUST-001343,Bancassurance_Key,Custom
TXN-0000117,CUST-001023,Bancassurance_Key,Custom
TXN-0000118,CUST-000811,Bancassurance_Key,Custom
TXN-0000119,CUST-001317,Bancassurance_Key,Custom
TXN-0000120,CUST-000940,Bancassurance_Key,Custom
TXN-0000121,CUST-000293,Bancassurance_Key,Custom
TXN-0000122,CUST-000543,Bancassurance_Key,Custom
TXN-0000123,CUST-000286,Bancassurance_Key,Custom
TXN-0000124,CUST-000506,Bancassurance_Key,Custom
TXN-0000125,CUST-001150,Bancassurance_Key,Custom
TXN-0000126,CUST-001104,Bancassurance_Key,Custom
TXN-0000127,CUST-000539,Bancassurance_Key,Custom
TXN-0000128,CUST-001198,Bancassurance_Key,Custom
TXN-0000129,CUST-000878,Bancassurance_Key,Custom
TXN-0000130,CUST-001196,Bancassurance_Key,Custom
TXN-0000131,CUST-000818,Bancassurance_Key,Custom
TXN-0000132,CUST-000742,Bancassurance_Key,Custom
