Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,Customer_Key__c
Aug,2,Saturday,Pontiac,Urban,Wednesday,Sep,2,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,4292,5,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,CUST-000442
Jun,3,Wednesday,Toyota,Urban,Tuesday,Jul,3,Female,Married,52,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7875,2,400,2,more than 30,more than 30,none,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,CUST-000776
Apr,1,Monday,Honda,Urban,Friday,Apr,2,Male,Married,64,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3326,9,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-001490
Aug,1,Wednesday,Honda,Urban,Friday,Aug,1,Male,Single,22,Policy Holder,Sport - Collision,Sport,more than 69000,0,4049,15,400,4,more than 30,more than 30,1,6 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,Collision,CUST-000054
Apr,1,Saturday,Saab,Urban,Wednesday,Apr,2,Male,Married,64,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,15204,1,400,1,more than 30,more than 30,1,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,CUST-001269
Oct,2,Wednesday,Pontiac,Urban,Wednesday,Oct,4,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8014,14,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,CUST-001193
May,5,Monday,Honda,Urban,Wednesday,Jun,1,Female,Single,27,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,11278,11,400,3,more than 30,more than 30,2 to 4,new,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1995,Collision,CUST-001098
Dec,3,Friday,Toyota,Urban,Monday,Dec,3,Male,Married,27,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,11485,5,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,Internal,more than 5,no change,1 vehicle,1996,Collision,CUST-000823
Apr,4,Saturday,Mazda,Urban,Tuesday,Apr,4,Female,Single,25,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6324,2,400,4,more than 30,more than 30,more than 4,5 years,26 to 30,Yes,No,External,none,no change,1 vehicle,1995,Collision,CUST-001155
Mar,2,Thursday,Mazda,Urban,Monday,Mar,3,Male,Married,46,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,13664,11,400,4,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,CUST-000712
