PolicyNumber,Customer_Key__c,Identification_Name,Identification_Type
4292,CUST-000442,Bancassurance_Key,Custom
7875,CUST-000776,Bancassurance_Key,Custom
3326,CUST-001490,Bancassurance_Key,Custom
4049,CUST-000054,Bancassurance_Key,Custom
15204,CUST-001269,Bancassurance_Key,Custom
8014,CUST-001193,Bancassurance_Key,Custom
11278,CUST-001098,Bancassurance_Key,Custom
11485,CUST-000823,Bancassurance_Key,Custom
6324,CUST-001155,Bancassurance_Key,Custom
13664,CUST-000712,Bancassurance_Key,Custom
5900,CUST-000021,Bancassurance_Key,Custom
3469,CUST-000103,Bancassurance_Key,Custom
7121,CUST-000248,Bancassurance_Key,Custom
12071,CUST-001175,Bancassurance_Key,Custom
14832,CUST-000877,Bancassurance_Key,Custom
10193,CUST-000338,Bancassurance_Key,Custom
2500,CUST-000717,Bancassurance_Key,Custom
1371,CUST-000430,Bancassurance_Key,Custom
1612,CUST-000966,Bancassurance_Key,Custom
3208,CUST-000552,Bancassurance_Key,Custom
5759,CUST-000651,Bancassurance_Key,Custom
7074,CUST-000300,Bancassurance_Key,Custom
15256,CUST-000726,Bancassurance_Key,Custom
1327,CUST-001386,Bancassurance_Key,Custom
737,CUST-001092,Bancassurance_Key,Custom
13344,CUST-001311,Bancassurance_Key,Custom
4411,CUST-001110,Bancassurance_Key,Custom
11025,CUST-000594,Bancassurance_Key,Custom
11410,CUST-001499,Bancassurance_Key,Custom
1985,CUST-000191,Bancassurance_Key,Custom
12229,CUST-001489,Bancassurance_Key,Custom
9858,CUST-001403,Bancassurance_Key,Custom
4961,CUST-000015,Bancassurance_Key,Custom
12472,CUST-001046,Bancassurance_Key,Custom
13615,CUST-000738,Bancassurance_Key,Custom
8518,CUST-000026,Bancassurance_Key,Custom
14273,CUST-000089,Bancassurance_Key,Custom
8009,CUST-000762,Bancassurance_Key,Custom
12509,CUST-000855,Bancassurance_Key,Custom
3026,CUST-001485,Bancassurance_Key,Custom
1534,CUST-001314,Bancassurance_Key,Custom
13156,CUST-000924,Bancassurance_Key,Custom
2885,CUST-000681,Bancassurance_Key,Custom
8880,CUST-000086,Bancassurance_Key,Custom
2021,CUST-001484,Bancassurance_Key,Custom
11005,CUST-000861,Bancassurance_Key,Custom
7584,CUST-000212,Bancassurance_Key,Custom
4514,CUST-000550,Bancassurance_Key,Custom
13930,CUST-000990,Bancassurance_Key,Custom
9768,CUST-001456,Bancassurance_Key,Custom
7655,CUST-000957,Bancassurance_Key,Custom
6546,CUST-000850,Bancassurance_Key,Custom
151,CUST-000140,Bancassurance_Key,Custom
412,CUST-000535,Bancassurance_Key,Custom
5964,CUST-000678,Bancassurance_Key,Custom
14983,CUST-000194,Bancassurance_Key,Custom
14534,CUST-000014,Bancassurance_Key,Custom
4085,CUST-001481,Bancassurance_Key,Custom
3528,CUST-000496,Bancassurance_Key,Custom
10947,CUST-000087,Bancassurance_Key,Custom
567,CUST-000472,Bancassurance_Key,Custom
6483,CUST-000049,Bancassurance_Key,Custom
10996,CUST-000038,Bancassurance_Key,Custom
3129,CUST-001307,Bancassurance_Key,Custom
12891,CUST-001457,Bancassurance_Key,Custom
9931,CUST-001214,Bancassurance_Key,Custom
9356,CUST-001422,Bancassurance_Key,Custom
7182,CUST-001187,Bancassurance_Key,Custom
10873,CUST-000060,Bancassurance_Key,Custom
9747,CUST-001375,Bancassurance_Key,Custom
9240,CUST-001179,Bancassurance_Key,Custom
10851,CUST-001340,Bancassurance_Key,Custom
14072,CUST-001100,Bancassurance_Key,Custom
8092,CUST-001327,Bancassurance_Key,Custom
9881,CUST-000702,Bancassurance_Key,Custom
6522,CUST-001478,Bancassurance_Key,Custom
1011,CUST-000772,Bancassurance_Key,Custom
1412,CUST-001349,Bancassurance_Key,Custom
1599,CUST-001162,Bancassurance_Key,Custom
5445,CUST-000485,Bancassurance_Key,Custom
9306,CUST-000394,Bancassurance_Key,Custom
4065,CUST-000753,Bancassurance_Key,Custom
11240,CUST-001455,Bancassurance_Key,Custom
13284,CUST-000928,Bancassurance_Key,Custom
2100,CUST-000469,Bancassurance_Key,Custom
5941,CUST-001225,Bancassurance_Key,Custom
3551,CUST-001317,Bancassurance_Key,Custom
4316,CUST-000494,Bancassurance_Key,Custom
4661,CUST-001382,Bancassurance_Key,Custom
12115,CUST-000330,Bancassurance_Key,Custom
